,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
22699,certain,sERt5,ADJ,1,103.57,65.2,182.64,102.16,CVCCV,CVCCVVC,2,7
22701,certains,sERt5,ADJ:ind,1,57.58,57.58,101.28,101.28,CVCCV,CVCCVVCC,2,8
22702,certains,sERt5,PRO:ind,1,43.65,43.65,32.64,32.64,CVCCV,CVCCVVCC,2,8
22703,certes,sERt,ADV,1,14.88,14.88,69.66,69.66,CVCC,CVCCVC,1,6
22734,cerveau,sERvo,NOM,1,61.59,57.67,30.88,28.92,CVCCV,CVCCVVV,2,7
22830,chacune,Sakyn,PRO:ind,1,12.2,12.2,35.95,35.95,CVCVC,CCVCVCV,2,7
22858,chagrin,SagR5,NOM,1,21.61,20.39,44.05,38.72,CVCCV,CCVCCVC,2,7
22918,chaleur,Sal9R,NOM,1,39.13,38.77,116.22,112.23,CVCVC,CCVCVVC,2,7
23024,chambre,S@bR,NOM,1,288.64,263.93,413.31,380.07,CVCC,CCVCCCV,1,7
23043,champagne,S@paN,NOM,1,32.49,32.38,29.86,29.86,CVCVC,CCVCCVCCV,2,9
23303,chapelle,SapEl,NOM,1,7.42,7.37,35.88,32.36,CVCVC,CCVCVCCV,2,8
