,ortho,phon,cgram,islem,freqlemfilms2,freqfilms2,freqlemlivres,freqlivres,p_cvcv,cvcv,nbsyll,nblettres
81189,larguer,laRge,VER,1,14.61,4.16,6.89,2.3,CVCCV,CVCCVVC,2,7
81240,lasagne,lazaN,NOM,1,1.94,0.15,0.41,0.0,CVCVC,CVCVCCV,2,7
81244,lascif,lasif,ADJ,1,1.52,0.46,2.5,0.74,CVCVC,CVCCVC,2,6
81251,laser,lazER,NOM,1,7.87,5.87,0.95,0.81,CVCVC,CVCVC,2,5
81364,lavage,lavaZ,NOM,1,5.09,5.01,3.24,2.64,CVCVC,CVCVCV,2,6
81373,lavande,lav@d,NOM,1,1.53,1.53,7.23,6.82,CVCVC,CVCVCCV,2,7
81416,lavette,lavEt,NOM,1,1.57,1.2,1.28,1.22,CVCVC,CVCVCCV,2,7
81418,laveur,lav9R,NOM,1,2.49,1.51,1.89,0.88,CVCVC,CVCVVC,2,6
81456,leader,lid9R,NOM,1,12.72,10.28,1.69,0.95,CVCVC,CVVCVC,2,6
81534,légal,legal,ADJ,1,16.79,9.8,6.49,2.43,CVCVC,CVCVC,2,5
81624,légume,legym,NOM,1,15.16,3.2,23.45,2.09,CVCVC,CVCVCV,2,6
81698,lépreux,lepR2,NOM,1,2.65,2.54,2.64,2.57,CVCCV,CVCCVVC,2,7
81751,lesquels,lEkEl,PRO:int,1,10.42,0.42,47.91,2.77,CVCVC,CVCCVVCC,2,8
81760,lessive,lesiv,NOM,1,8.51,8.09,8.78,7.7,CVCVC,CVCCVCV,2,7
81780,lester,lEste,VER,1,2.27,1.97,2.7,0.41,CVCCV,CVCCVC,2,6
81943,lézard,lezaR,NOM,1,6.16,4.9,11.42,7.5,CVCVC,CVCVCC,2,6
82101,licence,lis@s,NOM,1,8.27,7.37,7.84,7.03,CVCVC,CVCVCCV,2,7
82304,limace,limas,NOM,1,4.01,2.89,6.35,4.05,CVCVC,CVCVCV,2,6
82399,limpide,l5pid,ADJ,1,2.66,2.32,12.16,9.86,CVCVC,CVCCVCV,2,7
82403,linceul,l5s9l,NOM,1,1.98,1.94,2.7,2.3,CVCVC,CVCCVVC,2,7
82424,lingette,l5ZEt,NOM,1,0.66,0.48,0.0,0.0,CVCVC,CVCCVCCV,2,8
82446,linotte,linOt,NOM,1,0.81,0.69,0.54,0.27,CVCVC,CVCVCCV,2,7
82493,liqueur,lik9R,NOM,1,5.0,3.46,4.26,2.36,CVCVC,CVCVVVC,2,7
82510,liquide,likid,ADJ,1,7.7,7.48,14.86,12.03,CVCVC,CVCVVCV,2,7
82623,lister,liste,VER,1,1.6,1.07,0.0,0.0,CVCCV,CVCCVC,2,6
82629,liston,list§,NOM,1,4.14,4.14,0.0,0.0,CVCCV,CVCCVC,2,6
82664,litige,litiZ,NOM,1,0.78,0.57,1.42,0.74,CVCVC,CVCVCV,2,6
82714,livide,livid,ADJ,1,0.74,0.62,10.54,8.78,CVCVC,CVCVCV,2,6
82717,living,liviG,NOM,1,0.87,0.87,2.84,2.77,CVCVC,CVCVCC,2,6
82734,livrée,livRe,NOM,1,0.54,0.38,4.26,3.72,CVCCV,CVCCVV,2,6
82759,livret,livRE,NOM,1,3.26,3.1,5.41,4.73,CVCCV,CVCCVC,2,6
82821,local,lokal,ADJ,1,18.11,6.05,22.84,6.76,CVCVC,CVCVC,2,5
82822,local,lokal,NOM,1,5.78,3.55,11.89,7.64,CVCVC,CVCVC,2,5
82904,logeur,loZ9R,NOM,1,1.52,0.25,3.72,0.07,CVCVC,CVCVVC,2,6
82921,logique,loZik,ADJ,1,14.4,13.79,12.03,11.22,CVCVC,CVCVCVV,2,7
82922,logique,loZik,NOM,1,6.94,6.6,12.97,12.77,CVCVC,CVCVCVV,2,7
82960,lombaire,l§bER,ADJ,1,1.37,1.06,0.34,0.2,CVCVC,CVCCVVCV,2,8
83048,looser,luz9R,NOM,1,1.09,0.82,0.0,0.0,CVCVC,CVVCVC,2,6
83053,lopette,lopEt,NOM,1,1.25,1.11,0.47,0.41,CVCVC,CVCVCCV,2,7
83057,loquace,lokas,ADJ,1,0.61,0.58,2.43,2.03,CVCVC,CVCVVCV,2,7
83094,lorgner,lORNe,VER,1,1.07,0.14,7.09,0.88,CVCCV,CVCCCVC,2,7
83147,lotus,lotys,NOM,1,0.58,0.58,1.08,1.08,CVCVC,CVCVC,2,5
83173,loubard,lubaR,NOM,1,1.73,1.04,3.04,1.01,CVCVC,CVVCVCC,2,7
83234,loufoque,lufOk,ADJ,1,0.87,0.68,0.41,0.34,CVCVC,CVVCVCVV,2,8
83300,lourdaud,luRdo,NOM,1,0.64,0.48,0.95,0.74,CVCCV,CVVCCVVC,2,8
83399,lucide,lysid,ADJ,1,3.2,2.76,12.43,10.54,CVCVC,CVCVCV,2,6
83486,lunaire,lynER,ADJ,1,3.82,3.58,4.66,3.78,CVCVC,CVCVVCV,2,7
83507,lunette,lynEt,NOM,1,33.33,1.71,75.27,7.43,CVCVC,CVCVCCV,2,7
83518,lupus,lypys,NOM,1,1.28,1.28,0.27,0.27,CVCVC,CVCVC,2,5
83611,lutteur,lyt9R,NOM,1,1.27,0.88,3.78,1.62,CVCVC,CVCCVVC,2,7
83682,lynchage,l5SaZ,NOM,1,0.99,0.81,0.81,0.68,CVCVC,CVCCCVCV,2,8
83707,lyrique,liRik,ADJ,1,0.95,0.92,5.2,4.26,CVCVC,CVCVCVV,2,7
83721,maboul,mabul,ADJ,1,0.97,0.61,1.35,0.68,CVCVC,CVCVVC,2,6
